Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Abano Sour,N/A,Cardamom Sugar,N/A,Bartender: Francesco Lafranconi,Luxardo Amaro Abano,1.5 oz,Fresh Lemon Juice,1 oz,Agave Nectar,0.25 oz,Grapefruit Bitters,1 dash,Egg White,0.5 oz,,,,,,,,,,,,,,,,,1: Shake Ingredients With Ice Then Strain Into A Sour Cocktail Glass Previously Rimmed With Cardamom Sugar.,,,,,,,,,,,,,,,,,,,,,,
Abbey Cocktail,Gin,Cherry,Coupe Glass,Bitters: A Spirited History of a Classic Cure-all,Gin,1.5 oz,Lillet Blanc,0.75 oz,Freshly Squeezed Orange Juice,0.75 oz,Bitters #9,2 dashes,,,,,,,,,,,,,,,,,,,1: Combine all the ingredients except the garnish in a cocktail shaker filled with ice.,2: Shake until chilled and strain into a chilled coupe or cocktail glass.,3: Garnish with the cherry.,,,,,,,,,,,,,,,,,,,,
Above My Pay Grade,Whiskey,Orange Twist,Coupe Glass,"Bartender: Brian Means, Bar: Dirty Habit, Location: San Francisco",Semper Fi White Whiskey,1.5 oz,Chateau De Montifaud Pineau Des Charentes Rose,0.75 oz,Tempus Fugit Gran Classico Bitter,0.75 oz,House-Made Citrus Bitters,3 dash,,,,,,,,,,,,,,,,,,,1: Stir And Strain.,,,,,,,,,,,,,,,,,,,,,,
Abrazo Latino,Tequila,Torched Rosemary Sprig,Coupe Glass,Bartender: Francesco Lafranconi,Chinaco Reposado Tequila,1.5 oz,Luxardo Amaro Abano,0.75 oz,Luxardo Triplum (Triple Sec),0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Stir Ingredients In A Mixing Glass Filled With Ice Then Strain Into A Chilled Cocktail Coupe.,,,,,,,,,,,,,,,,,,,,,,
Absinthe Cocktail,Absinthe,N/A,Cocktail Glass,N/A,Absinthe Substitute,1.5 oz,Water,2 oz,Old Mr. Boston Anisette ,1.5 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Absinthe Drip Cocktail,N/A,N/A,Old-Fashioned Glass,N/A,Anis,1.5 oz,Sugar,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour Anis into special drip glass or old-fashioned cocktail glass.,2: Place sugar cube over hole of drip spoon (or in silver tea strainer).,"3: Pack spoon or strainer with cracked ice, pour cold water to fill.","4: When water has dripped through, drink is ready.",,,,,,,,,,,,,,,,,,,
Absinthe Special Cocktail,Absinthe,N/A,Cocktail Glass,N/A,Absinthe,1.5 oz,Simple Syrup,0.25 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Across The Pond,Gin,Luxardo Cherry,Rocks Glass,"Bartender: Alan Kropf, Location: San Francisco",Junipero Gin,1 oz,King'S Ginger Liqueur,1 oz,Round Pond Meyer Lemon Syrup,0.5 oz,Fresh Lemon Juice,0.75 oz,Soda Water,1 splash,,,,,,,,,,,,,,,,,"1: Combine All Ingredients Except Soda In A Shaker With Ice, Shake To Combine.",2: Pour Over Ice In A Rocks Glass And Top With Soda.,3: Garnish With A Luxardo Cherry.,,,,,,,,,,,,,,,,,,,,
Adam and Eve,Gin,N/A,Cocktail Glass,N/A,Forbidden Fruit,1 oz,Gin,1 oz,Brandy,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake well with cracked ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Adderly Cocktail,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,2 oz,Maraschino Liqueur,0.75 oz,Orange Bitters,2 oz,Fresh Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Flame orange twist and add.,,,,,,,,,,,,,,,,,,,,,
Admiral Perry,Vodka,N/A,Cocktail Glass,N/A,Pear-Flavored Vodka,2 oz,Cinnamon Schnapps,1 oz,Dry Vermouth,1 oz,White Creme De Cacao,1 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and shake into chilled cocktail glass.,2: Garnish with pear slice.,,,,,,,,,,,,,,,,,,,,,
Affinity Cocktail,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,2 oz,Maraschino Liqueur,0.75 oz,Fresh Lemon Juice,0.75 oz,Orange Bitters,2 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Affinity Cocktail (whisky),Whiskey,N/A,Cocktail Glass,N/A,Blended Scotch Whiskey,1 oz,Dry Vermouth,1 oz,Sweet Vermouth,1 oz,Orange Bitters,3 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
After Dinner Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apricot Flavored Brandy,1 oz,Triple Sec,1 oz,Juice Of A Lime,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Leave lime in glass.,,,,,,,,,,,,,,,,,,,,,
After Supper Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apricot-Flavored Brandy,1 oz,Triple Sec,1 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Akogare,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,1.5 oz,Ginger Syrup,0.75 oz,"Cold Brewed Black Tea, Preferably Japanese",0.75 oz,Fresh Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,,
Alamo Splash,Tequila,N/A,Collins Glass,N/A,Blanco Tequila,1.5 oz,Orange Juice,1 oz,Pineapple Juice,0.5 oz,Lemon-Lime Soda,1 oz,,,,,,,,,,,,,,,,,,,1: Pour first three ingredients into ice-filled Collins glass.,2: Top with lemon-lime soda and stir.,,,,,,,,,,,,,,,,,,,,,
Alaska Cocktail,Gin,N/A,Coupe Glass,N/A,No.3 London Dry Gin,2.25 oz,Green Chartreuse,0.75 oz,Orange Bitters,3 dash,,,,,,,,,,,,,,,,,,,,,1: Stir In Mixing Glass And Serve In A Chilled Coupe.,,,,,,,,,,,,,,,,,,,,,,
Alexander Cocktail No. 1,Gin,N/A,Cocktail Glass,N/A,Gin,1 oz,Creme De Cacao (White),1 oz,Light Cream,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Sprinkle nutmeg on top.,,,,,,,,,,,,,,,,,,,,,
Alexander Cocktail No. 2,Brandy,N/A,Cocktail Glass,N/A,Creme De Cacao (White),1 oz,Brandy,1 oz,Light Cream,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Sprinkle nutmeg on top.,,,,,,,,,,,,,,,,,,,,,
Alexander's Sister Cocktail,Gin,N/A,Cocktail Glass,N/A,Dry Gin,1 oz,Green Creme De Menthe,1 oz,Light Cream,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Sprinkle nutmeg on top.,,,,,,,,,,,,,,,,,,,,,
Alfie Cocktail,Vodka,N/A,Cocktail Glass,N/A,Lemon-Flavored Vodka,1.5 oz,Pineapple Juice,0.75 oz,Triple Sec,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Allies Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,1 oz,Gin,1 oz,Kummel,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Almond Brother,Tequila,N/A,Coupe Glass,Bartender: Jason Littrell,Reposado Tequila,2 oz,Luxardo Amaretto Di Saschira,0.25 oz,Tsp Luxardo Apricot Liqueur,1,Lime Juice,0.75 oz,Luxardo Orgeat Syrup,0.25 oz,Maple Syrup,0.25 oz,,,,,,,,,,,,,,,"1: Shake With Ice, Strain Into A Coupe.",2: No Garnish.,,,,,,,,,,,,,,,,,,,,,
Almond Crusta,Gin,"Superfine White Sugar, Lemon Zest",Coupe Glass,"Bartender: Kevin Diedrich, Location: San Francisco",H By Hine,1 oz,Junipero Gin,0.5 oz,Lemonjuice,0.75 oz,Orgeat,0.5 oz,Angostura Bitters,1 dash,,,,,,,,,,,,,,,,,1: Chill Coupe Glass And Garnish Rim By Coating The Outer Lip Of The Glass With A Wedge Of Lemon And Dipping Into A Shallow Dish Containing Superfine White Sugar.,2: Place Lemon Strip Neatly Along Side Of Sugared Coupe.,3: Combine All Liquid Ingredients Into Shaker; Add Ice And Shake.,4: Double Strain Into Glass.,,,,,,,,,,,,,,,,,,,
Amante Picante,Tequila,N/A,Cocktail Glass,N/A,Cucumber,2 oz,Fresh Cilantro Sprigs,2 oz,Blanco Tequila,2 oz,Fresh Lime Juice,1 oz,Simple Syrup,1 oz,"Jalapeno Hot Pepper Sauce, Cucumber Slice",2 oz,,,,,,,,,,,,,,,1: Muddle 2 cucumber slices and cilantro in mixing glass.,2: Add remaining ingredients.,3: Shake with ice and double-strain into chilled cocktail glass.,4: Garnish with cucumber.,,,,,,,,,,,,,,,,,,,
Amaretto And Cream,N/A,N/A,Cocktail Glass,N/A,Amaretto,1.5 oz,Half-And-Half,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Amaretto Bourbon Punch,Bourbon,N/A,Punch Bowl Glass,N/A,Hirsch Small Batch Reserve Bourbon,37.5 oz,Luxardo Amaretto Di Saschira,6.25 oz,Fresh Lemon Juice,12.5 oz,Sparkling Apple Juice,12.5 oz,Simple Syrup,6.25 oz,Seltzer,37.5 oz,,,,,,,,,,,,,,,1: Mix Ingredients In The Punch Bowl.,,,,,,,,,,,,,,,,,,,,,,
Amaretto Sour BV-Style,Bourbon,"Cherry, Freshly Grated Cinnamon",Coupe Glass,"Bartender: Scott Baird, Bar: The Bon Vivants, Location: San Francisco",Luxardo Amaretto Di Saschira,1.5 oz,Bourbon,0.5 oz,Fresh Lime Juice,0.5 oz,Pineapple Juice,0.75 oz,Fresh Egg White,0.75 oz,Angostura Bitters,2 dash,,,,,,,,,,,,,,,1: Add All Ingredients To A Shaker And Shake Well Without Ice To Emulsify The Egg White.,2: Add Ice And Shake Hard Until The Drink Is Chilled.,3: Strain Through A Fine-Mesh Strainer Into A Chilled Coupe And Garnish.,,,,,,,,,,,,,,,,,,,,
Amaretto Sourball,Vodka,N/A,Old Fashioned Glass,N/A,Vodka,1 oz,Luxardo Amaretto Di Saschira,1 oz,Lemon Juice,1 splash,Orange Juice,1 splash,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients Together With Ice In A Cocktail Shaker.,"2: Strain Into A Small Old-Fashioned Glass, And Serve.",,,,,,,,,,,,,,,,,,,,,
Amaretto Stinger,N/A,N/A,Cocktail Glass,N/A,Amaretto,1.5 oz,White Creme De Menthe,0.75 oz,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Amber Amour,N/A,N/A,Collins Glass,N/A,Amaretto,1.5 oz,Fresh Lemon Juice,0.25 oz,Simple Syrup,0.25 oz,,,,,,,,,,,,,,,,,,,,,"1: Pour amaretto, lemon juice, and syrup into ice-filled Collins glass.",2: Top with soda water and stir.,3: Garnish with cherry.,,,,,,,,,,,,,,,,,,,,
Ambrosia,Brandy,N/A,Highball Glass,N/A,Applejack,1 oz,Brandy,1 oz,Triple Sec,1 oz,Juice Of A Lemon,1,,,,,,,,,,,,,,,,,,,1: Shake all ingredients except champagne.,2: Pour contents into highball glass with cubed ice.,3: Fill with chilled champagne.,,,,,,,,,,,,,,,,,,,,
American Trilogy,Whiskey,N/A,Old-Fashioned Glass,N/A,"Brown Sugar Cube, Such As Demerara",1 oz,Straight Rye Whiskey,1 oz,Applejack,1 oz,,,,,,,,,,,,,,,,,,,,,1: Muddle sugar cube in mixer glass.,"2: Add whiskey, applejack, and ice.",3: Stir and strain into chilled old-fashioned glass.,4: Add orange twist.,,,,,,,,,,,,,,,,,,,
Americana,Whiskey,N/A,Collins Glass,N/A,Tennessee Whiskey,1 oz,Simple Syrup,0.5 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,,,,,1: Stir first three ingredients in ice-filled Collins glass.,2: Fill with sparkling wine.,3: Garnish with peach.,,,,,,,,,,,,,,,,,,,,
Americana Fizz (Layered Cocktail),Gin,"Luxardo Cherries, Blueberries",Highball Glass,Bartender: Lynnette Marrero,Junipero Gin,1.5 oz,Fresh Lemon Juice,0.75 oz,Simple Syrup,0.25 oz,The Genuine Curacao Liqueur Blue,0.75 oz,Luxardo Aperitivo,0.5 oz,Perrier Grapefruit,,,,,,,,,,,,,,,,"1: Shake The Gin, Lemon, And Simple Syrup Ingredients Together In A Shaker To Chill.",2: Gently Pour Into A Highball Glass Filled With Ice And 3/4 Oz Curacao Blue.,3: Top The Cocktail With 1/2 Oz Luxardo Aperitivo.,4: Add A Splash Of Perrier Grapefruit And Garnish With Luxardo Cherries And Blueberries For Color.,,,,,,,,,,,,,,,,,,,
And The Cherry On Top Is...,Liqueur,"6 Muddled (Pitted) Cherries, 2 Cherries",Tall Glass,N/A,Luxardo Maraschino Liqueur,1 oz,Vodka,3 oz,Root 23 Cherry Almond Simple Syrup,0.5 oz,Lemon Juice,1 oz,Club Soda,,,,,,,,,,,,,,,,,,"1: In The Bottom Of A Cocktail Shaker, Muddle Pitted Cherries If Using.","2: Add Luxardo Maraschino, Vodka, Fresh Lemon Juice And Simple Syrup.","3: Shake Hard, Then Double Strain (Though A Fine Mesh Strainer) Into A Tall Glass With Fresh Ice.",4: Add A Splash Of Soda And Stick A Cherry On Top.,,,,,,,,,,,,,,,,,,,
And to All a Good Night,Bourbon,Orange Twist,Cordial Glass,"Tim Stookey
Presidio Social Club
San Francisco",Bourbon,1.5 oz,Reposado Tequila,0.75 oz,Cherry Heering,0.75 oz,Regans' Orange Bitters,2 dashes,Bitters #9,1 dash,,,,,,,,,,,,,,,,,1: Combine ingredients in a mixing glass with ice and stir until cold.,2: Strain into a glass and garnish.,3: Makes 2 servings.,,,,,,,,,,,,,,,,,,,,
Angel Face (Classic),Liqueur,Lemon Peel Oils,N/A,N/A,Luxardo Apricot Liqueur,1 oz,C. Drouin Calvados Selection,1 oz,No.3 London Dry Gin,1 oz,,,,,,,,,,,,,,,,,,,,,"1: Stir The Ingredients In A Mixing Glass Filled With Ice, Then Strain And Serve Into A Chilled Cocktail Glass.",,,,,,,,,,,,,,,,,,,,,,
Angel's Face,Gin,Orange Peel Slice,Cocktail Glass,Bartender: Jay Zimmerman,No.3 London Dry Gin,1 oz,Applejack,1 oz,Luxardo Apricot Liqueur,1 oz,,,,,,,,,,,,,,,,,,,,,1: Add All The Ingredients To A Mixing Glass And Fill With Ice.,"2: Stir, And Strain Into A Cocktail Glass.",3: Garnish With A Slice Of Orange Peel.,,,,,,,,,,,,,,,,,,,,
Angel's Share,Whiskey,N/A,Cocktail Glass,N/A,Bourbon Whiskey,1.5 oz,Amaro,0.5 oz,Creme De Cassis,0.25 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Ante,Brandy,N/A,Cocktail Glass,N/A,Apple Brandy,1 oz,Triple Sec,0.5 oz,Dubonnet,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir well with cracked ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Antoine Special,Vermouth,N/A,Red-Wine Glass,N/A,Dubonnet,1.5 oz,Dry Vermouth,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Float vermouth on top of chilled Dubonnet in a wine glass.,,,,,,,,,,,,,,,,,,,,,,
Aperitivo Spritz,Prosecco,"Orange, Luxardo Cherry",N/A,Location: San Francisco,Luxardo Aperitivo,2 oz,Prosecco,3 oz,Sparkling Water,1 splash,,,,,,,,,,,,,,,,,,,,,"1: Build Over Ice, Stir Lightly, And Garnish With An Orange Peel Or Slice And Luxardo Cherry.",,,,,,,,,,,,,,,,,,,,,,
Apple Blow Fizz,Brandy,N/A,Highball Glass,N/A,Egg White,1 oz,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Apple Brandy,2 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass with two ice cubes.,2: Fill with carbonated water.,,,,,,,,,,,,,,,,,,,,,
Apple Pie,Schnapps,N/A,Old-Fashioned Glass,N/A,Apple Schnapps,3 oz,Cinnamon Schnapps,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour into ice-filled old-fashioned glass.,2: Garnish with apple and top with cinnamon.,,,,,,,,,,,,,,,,,,,,,
Apple Pie Cocktail,Rum,N/A,Cocktail Glass,N/A,Old Mr. Boston Rum,0.75 oz,Sweet Vermouth,0.75 oz,Apple Flavored Brandy,1 oz,Grenadine,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
